Date - MST,Hourly Profile1,Season1,Date (MST),AIL,Gas Price,Price,Spark Spread
1/1/2020 0:00,ON PEAK,SUMMER,5/1/2025 16:00,9745,2.12,32.04,16.14
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 6:00,8518,2.14,30.29,14.24
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 21:00,8592,2.14,32.96,16.91
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 6:00,8647,2.14,21.88,5.83
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 7:00,8720,2.14,30.9,14.85
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 19:00,8774,2.14,26.44,10.39
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 20:00,8794,2.14,29.64,13.59
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 18:00,8804,2.14,27.52,11.47
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 8:00,8858,2.14,33.34,17.29
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 9:00,8894,2.14,33.38,17.33
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 17:00,8897,2.14,28.46,12.41
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 14:00,8924,2.14,32.29,16.24
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 10:00,8944,2.14,33.39,17.34
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 21:00,8945,2.14,23.98,7.93
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 13:00,8962,2.14,33.21,17.16
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 11:00,8971,2.14,33.27,17.22
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 12:00,8984,2.14,33.36,17.31
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 7:00,8993,2.14,24.55,8.5
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 15:00,9001,2.14,30.84,14.79
1/1/2020 0:00,ON PEAK,SUMMER,5/7/2020 16:00,9039,2.14,26.77,10.72
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 20:00,9155,2.14,28.75,12.7
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 19:00,9224,2.14,28.96,12.91
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 8:00,9244,2.14,27.86,11.81
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 18:00,9410,2.14,29.17,13.12
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 9:00,9436,2.14,33.7,17.65
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 10:00,9484,2.14,31.97,15.92
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 11:00,9537,2.14,32.05,16
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 17:00,9618,2.14,30.19,14.14
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 12:00,9630,2.14,30.25,14.2
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 13:00,9683,2.14,30.14,14.09
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 14:00,9709,2.14,29.81,13.76
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 16:00,9762,2.14,31.77,15.72
1/1/2020 0:00,ON PEAK,SUMMER,8/10/2020 15:00,9764,2.14,31.32,15.27
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 6:00,8543,2.15,27.64,11.515
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 21:00,8550,2.15,29.61,13.485
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 7:00,8664,2.15,30.47,14.345
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 6:00,8673,2.15,30.47,14.345
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 20:00,8786,2.15,30.04,13.915
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 21:00,8812,2.15,31.21,15.085
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 6:00,8816,2.15,30.85,14.725
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 7:00,8827,2.15,31.35,15.225
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 8:00,8827,2.15,33.23,17.105
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 21:00,8835,2.15,28.94,12.815
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 17:00,8849,2.15,30.47,14.345
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 18:00,8885,2.15,29.96,13.835
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 21:00,8910,2.15,26.98,10.855
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 21:00,8919,2.15,751.8,735.675
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 8:00,8935,2.15,36.54,20.415
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 19:00,8942,2.15,30.45,14.325
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 9:00,8942,2.15,35.75,19.625
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 14:00,8963,2.15,29.89,13.765
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 12:00,8985,2.15,31.31,15.185
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 13:00,8988,2.15,29.91,13.785
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 7:00,8999,2.15,36.54,20.415
